,host_id,host_location,host_acceptance_rate,bathrooms,amenities,review_scores_value
318,5170597,"Barcelona, Spain",100%,3.0,"[""Host greets you"", ""Paid parking off premises"", ""Long term stays allowed"", ""Patio or balcony"", ""Refrigerator"", ""Fire extinguisher"", ""Essentials"", ""Heating"", ""Hangers"", ""Dishwasher"", ""Microwave"", ""Oven"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Iron"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Stove"", ""Crib"", ""Dishes and silverware"", ""Air conditioning"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Kitchen"", ""Smoke alarm""]",4.45
319,4269183,"Barcelona, Spain",100%,1.0,"[""Bed linens"", ""Ceiling fan"", ""Sun loungers"", ""Self check-in"", ""Babysitter recommendations"", ""Hot water"", ""Room-darkening shades"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Microwave"", ""Fire extinguisher"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Keypad"", ""Stove"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Dryer"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Dedicated workspace"", ""Iron"", ""Smoke alarm"", ""Outdoor furniture"", ""Cleaning products"", ""Coffee maker"", ""Patio or balcony"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Paid parking off premises"", ""Refrigerator"", ""TV"", ""Heating"", ""Carbon monoxide alarm"", ""Freezer"", ""Essentials"", ""Air conditioning""]",4.81
320,4260952,"Barcelona, Spain",99%,2.0,"[""Dishwasher"", ""Hangers"", ""Central air conditioning"", ""Refrigerator"", ""Heating"", ""Paid parking off premises"", ""Room-darkening shades"", ""Private patio or balcony"", ""Kitchen"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""TV"", ""High chair"", ""City skyline view"", ""Pets allowed"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Hair dryer"", ""Bathtub"", ""Free washer \u2013 In unit"", ""Hot water"", ""Cooking basics"", ""Wifi""]",4.72
321,4260952,"Barcelona, Spain",99%,2.0,"[""Bed linens"", ""Oven"", ""Dishwasher"", ""Private entrance"", ""Hot water"", ""Room-darkening shades"", ""High chair"", ""Cooking basics"", ""Beach access \u2013 Beachfront"", ""Wifi"", ""Washer"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Bathtub"", ""Dryer"", ""City skyline view"", ""Extra pillows and blankets"", ""Crib"", ""Iron"", ""Pets allowed"", ""Patio or balcony"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Air conditioning""]",4.48
322,4260952,"Barcelona, Spain",99%,2.0,"[""Bed linens"", ""Oven"", ""AC - split type ductless system"", ""Private entrance"", ""Hot water"", ""Room-darkening shades"", ""High chair"", ""Wifi"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Stove"", ""Bathtub"", ""Dryer"", ""City skyline view"", ""Extra pillows and blankets"", ""Crib"", ""Iron"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Pets allowed"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Dishwasher""]",4.25
323,5320036,"Barcelona, Spain",65%,1.0,"[""Bed linens"", ""Hot water"", ""Cooking basics"", ""Wifi"", ""Microwave"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Window AC unit"", ""Long term stays allowed"", ""Kitchen"", ""Dining table"", ""Pack \u2019n play/Travel crib"", ""Wine glasses"", ""Portable fans"", ""Hot water kettle"", ""Elevator"", ""Gas stove"", ""Crib"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Cleaning products"", ""Coffee maker"", ""TV with Netflix, HBO Max"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Laundromat nearby"", ""Refrigerator"", ""Paid parking off premises"", ""Free dryer \u2013 In unit"", ""Heating"", ""Freezer""]",4.51
324,3744544,"Barcelona, Spain",98%,2.0,"[""Bed linens"", ""Oven"", ""Paid clamp on table seat high chair - available upon request"", ""Hot water"", ""Room-darkening shades"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Books and reading material"", ""Body soap"", ""Central air conditioning"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Paid crib - available upon request"", ""Kitchen"", ""Induction stove"", ""Toaster"", ""Dining table"", ""Wine glasses"", ""City skyline view"", ""Hot water kettle"", ""Elevator"", ""50 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Netflix, standard cable"", ""Host greets you"", ""Iron"", ""Free washer \u2013 In unit"", ""Coffee maker"", ""Shower gel"", ""Single level home"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Laundromat nearby"", ""Refrigerator"", ""Paid parking off premises"", ""Free dryer \u2013 In unit"", ""Heating"", ""Freezer"", ""Essentials"", ""Dishwasher""]",4.63
325,5349333,"Barcelona, Spain",99%,1.0,"[""Bed linens"", ""Coffee"", ""Lockbox"", ""Self check-in"", ""Babysitter recommendations"", ""Baby bath"", ""Mountain view"", ""Hot water"", ""Room-darkening shades"", ""High chair"", ""Body soap"", ""Clothing storage: closet and dresser"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Waterfront"", ""Long term stays allowed"", ""Kitchen"", ""Toaster"", ""Luggage dropoff allowed"", ""Dining table"", ""Pack \u2019n play/Travel crib"", ""Wine glasses"", ""City skyline view"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Crib"", ""Host greets you"", ""Iron"", ""Shared gym nearby"", ""Free washer \u2013 In unit"", ""Cleaning products"", ""Coffee maker"", ""Shared beach access"", ""Shower gel"", ""Single level home"", ""Drying rack for clothing"", ""Laundromat nearby"", ""Dishes and silverware"", ""Paid parking off premises"", ""Refrigerator"", ""Blender"", ""TV"", ""Changing table"", ""Heating"", ""Freezer"", ""Essentials"", ""Air conditioning"", ""Otro electric stove""]",4.57
326,5349333,"Barcelona, Spain",99%,1.0,"[""Bed linens"", ""Coffee"", ""Lockbox"", ""Self check-in"", ""Babysitter recommendations"", ""Baby bath"", ""Gel de ducha body soap"", ""Hot water"", ""Room-darkening shades"", ""Books and reading material"", ""High chair"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Shampoo"", ""Microwave"", ""Acondicionador conditioner"", ""Hangers"", ""Coffee maker: espresso machine"", ""Hair dryer"", ""Waterfront"", ""Long term stays allowed"", ""Kitchen"", ""Cleaning available during stay"", ""Stove"", ""Toaster"", ""Dining table"", ""Wine glasses"", ""Portable fans"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib - available upon request"", ""Outlet covers"", ""Paid parking lot off premises"", ""Host greets you"", ""Iron"", ""Children\u2019s books and toys"", ""Cleaning products"", ""Patio or balcony"", ""Shower gel"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Laundromat nearby"", ""Refrigerator"", ""TV"", ""Changing table"", ""Heating"", ""Freezer"", ""Essentials"", ""Air conditioning""]",4.67
327,5359193,"Barcelona, Spain",100%,1.0,"[""Clothing storage: closet"", ""Shower gel"", ""Freezer"", ""Portable heater"", ""Patio or balcony"", ""Stainless steel single oven"", ""Central air conditioning"", ""Single level home"", ""Bed linens"", ""Cleaning products"", ""Dining table"", ""Refrigerator"", ""Essentials"", ""Toaster"", ""Hangers"", ""Body soap"", ""Hot water"", ""Cooking basics"", ""Self check-in"", ""Iron"", ""Wifi"", ""Shampoo"", ""Wine glasses"", ""Hair dryer"", ""Stove"", ""Baking sheet"", ""Laundromat nearby"", ""Dishes and silverware"", ""Ethernet connection"", ""High chair"", ""TV"", ""Smart lock"", ""Kitchen"", ""Hot water kettle"", ""Microwave"", ""Paid parking garage on premises""]",4.52
