,host_id,host_location,host_acceptance_rate,bathrooms,amenities,review_scores_value
422,6074635,,38%,1.0,"[""Bed linens"", ""Oven"", ""Barbecue utensils"", ""Hot water"", ""Room-darkening shades"", ""Books and reading material"", ""Body soap"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Lock on bedroom door"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Clothing storage: dresser"", ""Hangers"", ""Hair dryer"", ""Cleaning available during stay"", ""Long term stays allowed"", ""Kitchen"", ""Baking sheet"", ""Stove"", ""Luggage dropoff allowed"", ""Dining table"", ""Wine glasses"", ""Portable fans"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Ethernet connection"", ""Cleaning products"", ""Coffee maker"", ""Shower gel"", ""Drying rack for clothing"", ""Laundromat nearby"", ""Dishes and silverware"", ""Pocket wifi"", ""Refrigerator"", ""Blender"", ""Freezer"", ""Essentials""]",4.63
423,6092480,"Barcelona, Spain",99%,2.0,"[""Bed linens"", ""Smoking allowed"", ""Oven"", ""Central heating"", ""Coffee"", ""Baby bath"", ""Hot water"", ""Room-darkening shades"", ""High chair"", ""Body soap"", ""Central air conditioning"", ""Coffee maker: Nespresso"", ""Cooking basics"", ""Children\u2019s dinnerware"", ""Wifi"", ""Backyard"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Bidet"", ""Kitchen"", ""Induction stove"", ""Toaster"", ""Bathtub"", ""Free parking on premises"", ""Dining table"", ""Pack \u2019n play/Travel crib"", ""Wine glasses"", ""43 inch HDTV with standard cable"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Crib"", ""Dedicated workspace"", ""Outlet covers"", ""Host greets you"", ""Iron"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Pets allowed"", ""Ethernet connection"", ""Children\u2019s books and toys"", ""Cleaning products"", ""Shower gel"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Refrigerator"", ""Free dryer \u2013 In unit"", ""Freezer"", ""Essentials"", ""Dishwasher""]",4.7
424,6099660,"Barcelona, Spain",94%,2.0,"[""Hangers"", ""Refrigerator"", ""Stove"", ""Exterior security cameras on property"", ""Coffee maker"", ""Trash compactor"", ""Heating"", ""Room-darkening shades"", ""Clothing storage"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Oven"", ""Toaster"", ""Dishes and silverware"", ""Dining table"", ""TV"", ""Sound system"", ""Self check-in"", ""Essentials"", ""Microwave"", ""Safe"", ""Hair dryer"", ""Smart lock"", ""Free washer \u2013 In unit"", ""Hot water"", ""Cooking basics"", ""Freezer"", ""Wifi""]",4.54
425,6099660,"Barcelona, Spain",94%,1.5,"[""Bed linens"", ""Oven"", ""Self check-in"", ""Hot water"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Microwave"", ""Hangers"", ""Clothing storage"", ""Hair dryer"", ""Kitchen"", ""Keypad"", ""Stove"", ""Exterior security cameras on property"", ""Toaster"", ""Dryer"", ""Hot water kettle"", ""Elevator"", ""Iron"", ""Private patio or balcony"", ""Coffee maker"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Essentials"", ""Air conditioning""]",4.25
426,6107595,,90%,2.0,"[""Bed linens"", ""Conditioner"", ""AC - split type ductless system"", ""Coffee"", ""Hot water"", ""Room-darkening shades"", ""Paid street parking off premises"", ""Crib - available upon request"", ""Clothing storage: closet and dresser"", ""Cooking basics"", ""Coffee maker: Nespresso"", ""Children\u2019s dinnerware"", ""Wifi"", ""Courtyard view"", ""Single oven"", ""Shampoo"", ""Children\u2019s books and toys for ages 2-5 years old"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Long term stays allowed"", ""Bidet"", ""Kitchen"", ""Baking sheet"", ""AEG induction stove"", ""Toaster"", ""Bathtub"", ""Dining table"", ""Portable fans"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dedicated workspace"", ""Outlet covers"", ""Host greets you"", ""Iron"", ""Clamp on table seat high chair - available upon request"", ""Smoke alarm"", ""Outdoor dining area"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Ethernet connection"", ""Cleaning products"", ""Shower gel"", ""Sanex zero body soap"", ""Laundromat nearby"", ""Dishes and silverware"", ""Refrigerator"", ""HDTV with standard cable, premium cable, Netflix"", ""Blender"", ""Carbon monoxide alarm"", ""Heating"", ""Freezer"", ""Essentials"", ""Dishwasher""]",4.75
427,6001714,"Barcelona, Spain",80%,1.0,"[""Bed linens"", ""Oven"", ""Hot water"", ""Books and reading material"", ""Cooking basics"", ""Wifi"", ""Shared backyard \u2013 Fully fenced"", ""Courtyard view"", ""Hangers"", ""Clothing storage"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Bidet"", ""Stove"", ""Hammock"", ""Toaster"", ""Dining table"", ""Wine glasses"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Iron"", ""Children\u2019s books and toys"", ""Cleaning products"", ""Coffee maker"", ""Laundromat nearby"", ""Dishes and silverware"", ""Refrigerator"", ""Blender"", ""Heating"", ""Freezer"", ""Essentials""]",4.55
428,6001714,"Barcelona, Spain",80%,1.0,"[""Bed linens"", ""Oven"", ""Hot water"", ""Books and reading material"", ""Cooking basics"", ""Wifi"", ""Bikes"", ""Courtyard view"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Bidet"", ""Toaster"", ""Dining table"", ""Wine glasses"", ""Extra pillows and blankets"", ""Dedicated workspace"", ""Coffee maker: drip coffee maker, pour-over coffee"", ""Iron"", ""Shared beach access"", ""Laundromat nearby"", ""Dishes and silverware"", ""Refrigerator"", ""Blender"", ""Freezer"", ""Essentials""]",4.84
429,2848016,"Barcelona, Spain",,1.0,"[""Host greets you"", ""Paid parking off premises"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Outlet covers"", ""Bed linens"", ""Children\u2019s books and toys"", ""Refrigerator"", ""Fire extinguisher"", ""Elevator"", ""Essentials"", ""Luggage dropoff allowed"", ""Heating"", ""Hangers"", ""First aid kit"", ""Microwave"", ""Oven"", ""Coffee maker"", ""Hot water"", ""Baby bath"", ""EV charger"", ""Children\u2019s dinnerware"", ""Cooking basics"", ""Changing table"", ""Iron"", ""Wifi"", ""Shampoo"", ""Extra pillows and blankets"", ""Hair dryer"", ""Stove"", ""Crib"", ""Dishes and silverware"", ""Cleaning available during stay"", ""Ethernet connection"", ""High chair"", ""Pack \u2019n play/Travel crib"", ""Room-darkening shades"", ""TV"", ""Kitchen"", ""Babysitter recommendations"", ""Smoke alarm""]",4.84
430,5933563,"Barcelona, Spain",25%,1.5,"[""Lockbox"", ""Self check-in"", ""Private entrance"", ""Hot water"", ""Paid parking on premises"", ""Wifi"", ""Washer"", ""Shampoo"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Elevator"", ""Host greets you"", ""Iron"", ""Pets allowed"", ""Refrigerator"", ""TV"", ""Heating"", ""Essentials""]",4.88
431,121825,"Barcelona, Spain",99%,2.0,"[""Dishwasher"", ""Lockbox"", ""Hangers"", ""Refrigerator"", ""Stove"", ""Elevator"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Coffee maker"", ""Extra pillows and blankets"", ""Dryer"", ""Heating"", ""Paid parking off premises"", ""Fire extinguisher"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Shower gel"", ""Bed linens"", ""Carbon monoxide alarm"", ""Shampoo"", ""Oven"", ""Crib"", ""Dishes and silverware"", ""Washer"", ""TV"", ""Self check-in"", ""High chair"", ""Cleaning available during stay"", ""Essentials"", ""Microwave"", ""Hair dryer"", ""Smoke alarm"", ""Hot water"", ""Cooking basics"", ""Wifi""]",4.58
432,71615,"Barcelona, Spain",91%,1.0,"[""30 inch TV"", ""Oven"", ""Hot water"", ""Central air conditioning"", ""Paid parking on premises"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""City skyline view"", ""Elevator"", ""Gas stove"", ""Host greets you"", ""Iron"", ""Free street parking"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Coffee maker"", ""Dishes and silverware"", ""Refrigerator"", ""Heating"", ""Essentials""]",4.56
433,2201772,,100%,2.0,"[""Hot water"", ""High chair"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Shampoo"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Exterior security cameras on property"", ""Luggage dropoff allowed"", ""Elevator"", ""Crib"", ""Host greets you"", ""Iron"", ""Smoke alarm"", ""Coffee maker"", ""Refrigerator"", ""TV"", ""Heating"", ""Essentials"", ""Air conditioning""]",4.51
434,4985749,"Barcelona, Spain",99%,2.5,"[""Bed linens"", ""Ceiling fan"", ""Oven"", ""AC - split type ductless system"", ""Hot water"", ""High chair"", ""Cooking basics"", ""Wifi"", ""Electric stove"", ""Microwave"", ""Fire extinguisher"", ""Hangers"", ""Clothing storage"", ""Hair dryer"", ""Kitchen"", ""Toaster"", ""Bathtub"", ""Dining table"", ""City skyline view"", ""Hot water kettle"", ""Elevator"", ""Pack \u2019n play/Travel crib - available upon request"", ""Host greets you"", ""Iron"", ""Free washer \u2013 In unit"", ""Pets allowed"", ""Coffee maker"", ""Drying rack for clothing"", ""Laundromat nearby"", ""Dishes and silverware"", ""Paid parking off premises"", ""Refrigerator"", ""Blender"", ""TV"", ""Heating"", ""Freezer"", ""Essentials"", ""Dishwasher""]",4.6
435,42109537,,100%,,"[""Bed linens"", ""Oven"", ""Central heating"", ""Coffee"", ""Hot water"", ""Room-darkening shades"", ""Body soap"", ""Central air conditioning"", ""Cooking basics"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Induction stove"", ""Toaster"", ""HDTV with Apple TV, Netflix, standard cable, Chromecast"", ""Dining table"", ""Wine glasses"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Ethernet connection"", ""Cleaning products"", ""Fast wifi \u2013 102 Mbps"", ""Coffee maker"", ""Shower gel"", ""Single level home"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Laundromat nearby"", ""Refrigerator"", ""Paid parking off premises"", ""Blender"", ""Carbon monoxide alarm"", ""Freezer"", ""Essentials"", ""Dishwasher""]",4.72
436,4212095,"Barcelona, Spain",93%,1.0,"[""Bed linens"", ""Oven"", ""Hot water"", ""High chair"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Microwave"", ""Fire extinguisher"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""Exterior security cameras on property"", ""Elevator"", ""Crib"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Coffee maker"", ""Shower gel"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Essentials"", ""Air conditioning""]",4.59
437,6251419,"Barcelona, Spain",17%,1.0,"[""Hair dryer"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Heating"", ""Host greets you"", ""Hangers"", ""Central air conditioning"", ""Refrigerator"", ""Hot water"", ""Cooking basics"", ""Essentials"", ""Wifi"", ""Coffee maker"", ""Shampoo"", ""Oven""]",4.85
438,6251533,"Barcelona, Spain",82%,,"[""Bed linens"", ""Oven"", ""Hot water"", ""Room-darkening shades"", ""Body soap"", ""Paid parking on premises"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Toaster"", ""Dining table"", ""Bread maker"", ""Portable fans"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Gas stove"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Free washer \u2013 In unit"", ""Cleaning products"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Freezer"", ""Coffee maker: Nespresso, pour-over coffee"", ""Essentials""]",4.77
439,131794,"Barcelona, Spain",98%,2.0,"[""Bed linens"", ""Oven"", ""Self check-in"", ""Babysitter recommendations"", ""Dishwasher"", ""Hot water"", ""TV with standard cable"", ""Paid parking on premises"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Breakfast"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Keypad"", ""Exterior security cameras on property"", ""Bathtub"", ""Luggage dropoff allowed"", ""Crib"", ""Dedicated workspace"", ""Iron"", ""Single level home"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""Carbon monoxide alarm"", ""Heating"", ""Air conditioning""]",4.58
440,121825,"Barcelona, Spain",99%,1.0,"[""Paid parking off premises"", ""Long term stays allowed"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Bed linens"", ""Safe"", ""Refrigerator"", ""Fire extinguisher"", ""Elevator"", ""Essentials"", ""Toaster"", ""Luggage dropoff allowed"", ""Keypad"", ""Hangers"", ""Dishwasher"", ""Microwave"", ""Oven"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Self check-in"", ""Iron"", ""Washer"", ""Wifi"", ""Dedicated workspace"", ""Shampoo"", ""Extra pillows and blankets"", ""Hair dryer"", ""Crib"", ""Dishes and silverware"", ""Air conditioning"", ""High chair"", ""Cleaning available during stay"", ""Room-darkening shades"", ""TV"", ""Kitchen"", ""Hot water kettle"", ""Smoke alarm""]",4.32
441,4269183,"Barcelona, Spain",100%,1.0,"[""Bed linens"", ""Ceiling fan"", ""Smoking allowed"", ""Sun loungers"", ""Self check-in"", ""Hot water"", ""Room-darkening shades"", ""TV with standard cable"", ""Paid parking on premises"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Microwave"", ""Fire extinguisher"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Keypad"", ""Stove"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Dryer"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Iron"", ""Smoke alarm"", ""Outdoor furniture"", ""Outdoor dining area"", ""Coffee maker"", ""Patio or balcony"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Pocket wifi"", ""Refrigerator"", ""Paid parking off premises"", ""Carbon monoxide alarm"", ""Heating"", ""Freezer"", ""Essentials"", ""Air conditioning""]",4.75
442,6600521,"Barcelona, Spain",99%,2.0,"[""Bed linens"", ""Oven"", ""Central heating"", ""Hot water"", ""Paid parking garage off premises"", ""Room-darkening shades"", ""Paid pack \u2019n play/travel crib - available upon request"", ""High chair"", ""Body soap"", ""Central air conditioning"", ""50 inch HDTV"", ""Cooking basics"", ""Bosch induction stove"", ""Children\u2019s dinnerware"", ""Wifi"", ""Shampoo"", ""Fire extinguisher"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Toaster"", ""Dining table"", ""Wine glasses"", ""Shared gym in building"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Dedicated workspace"", ""Host greets you"", ""Safe"", ""Iron"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Cleaning products"", ""Coffee maker"", ""Baby bath - available upon request"", ""Shower gel"", ""Single level home"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Laundromat nearby"", ""Refrigerator"", ""Free dryer \u2013 In unit"", ""Freezer"", ""Essentials"", ""Dishwasher""]",4.73
443,6482644,"Barcelona, Spain",96%,1.0,"[""Bed linens"", ""Oven"", ""AC - split type ductless system"", ""Baby bath"", ""Hot water"", ""Room-darkening shades"", ""High chair"", ""Body soap"", ""Cooking basics"", ""Children\u2019s dinnerware"", ""Wifi"", ""Shampoo"", ""Microwave"", ""Noise decibel monitors on property"", ""Hangers"", ""First aid kit"", ""Coffee maker: espresso machine"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""43 inch HDTV with Chromecast, standard cable"", ""Stove"", ""Exterior security cameras on property"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Elevator"", ""Crib"", ""Host greets you"", ""Iron"", ""Smoke alarm"", ""Outdoor furniture"", ""Free washer \u2013 In unit"", ""Children\u2019s books and toys"", ""Patio or balcony"", ""Shower gel"", ""Single level home"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""Free dryer \u2013 In unit"", ""Carbon monoxide alarm"", ""Heating"", ""Essentials"", ""Dishwasher""]",4.81
444,5729069,"Barcelona, Spain",85%,1.0,"[""Bed linens"", ""Oven"", ""Dishwasher"", ""Hot water"", ""High chair"", ""Paid parking on premises"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""Bathtub"", ""Luggage dropoff allowed"", ""Dryer"", ""Crib"", ""Host greets you"", ""Iron"", ""Coffee maker"", ""Patio or balcony"", ""Shower gel"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Essentials"", ""Air conditioning""]",3.5
445,3376710,"Barcelona, Spain",54%,2.0,"[""Bed linens"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Elevator"", ""Dedicated workspace"", ""Hangers"", ""Host greets you"", ""Iron"", ""TV"", ""Heating"", ""Kitchen"", ""Essentials"", ""Air conditioning"", ""Pets allowed""]",
446,6283535,"Barcelona, Spain",97%,2.0,"[""Oven"", ""Lockbox"", ""Self check-in"", ""Hot water"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Backyard"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Stove"", ""Air conditioning"", ""Iron"", ""Coffee maker"", ""Private pool"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Essentials"", ""Dishwasher""]",4.6
447,6289073,"London, United Kingdom",,1.0,"[""Bed linens"", ""Oven"", ""AC - split type ductless system"", ""Hot water"", ""Clothing storage: closet and dresser"", ""Cooking basics"", ""Wifi"", ""Courtyard view"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Stove"", ""Toaster"", ""Dining table"", ""Pack \u2019n play/Travel crib"", ""Wine glasses"", ""TV with Chromecast"", ""Portable fans"", ""City skyline view"", ""Hot water kettle"", ""Host greets you"", ""Iron"", ""Smoke alarm"", ""Outdoor furniture"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Coffee maker"", ""Drying rack for clothing"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""Heating"", ""Freezer"", ""Essentials""]",4.39
448,6299958,"Barcelona, Spain",100%,1.0,"[""Bed linens"", ""Oven"", ""Lockbox"", ""Self check-in"", ""Dishwasher"", ""Hot water"", ""High chair"", ""TV with standard cable"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Shampoo"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Long term stays allowed"", ""Kitchen"", ""Stove"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Elevator"", ""Crib"", ""Iron"", ""Coffee maker"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""Heating"", ""Essentials"", ""Air conditioning""]",4.76
449,6299958,"Barcelona, Spain",100%,1.0,"[""TV with standard cable"", ""Dishwasher"", ""Lockbox"", ""Hangers"", ""Refrigerator"", ""Stove"", ""Elevator"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Coffee maker"", ""Body soap"", ""Extra pillows and blankets"", ""Heating"", ""Wine glasses"", ""Paid parking off premises"", ""Pocket wifi"", ""Hot water kettle"", ""Private entrance"", ""Fire extinguisher"", ""Kitchen"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Shampoo"", ""Oven"", ""Toaster"", ""Crib"", ""Dishes and silverware"", ""Washer"", ""Self check-in"", ""High chair"", ""Sun loungers"", ""Essentials"", ""Laundromat nearby"", ""Microwave"", ""Patio or balcony"", ""Hair dryer"", ""Bidet"", ""Clothing storage: closet"", ""Hot water"", ""Cooking basics"", ""Freezer"", ""Wifi""]",4.74
450,6299958,"Barcelona, Spain",100%,1.0,"[""TV with standard cable"", ""Dishwasher"", ""Lockbox"", ""Hangers"", ""Refrigerator"", ""Stove"", ""Elevator"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Coffee maker"", ""Body soap"", ""Extra pillows and blankets"", ""Heating"", ""Wine glasses"", ""Room-darkening shades"", ""Pocket wifi"", ""Hot water kettle"", ""Private entrance"", ""Fire extinguisher"", ""Kitchen"", ""Baking sheet"", ""Air conditioning"", ""Iron"", ""Bed linens"", ""Cleaning products"", ""Shampoo"", ""Oven"", ""Toaster"", ""Crib"", ""Dishes and silverware"", ""Washer"", ""Self check-in"", ""High chair"", ""Essentials"", ""Laundromat nearby"", ""Microwave"", ""Patio or balcony"", ""Hair dryer"", ""Bidet"", ""Clothing storage: closet"", ""Hot water"", ""Cooking basics"", ""Freezer"", ""Wifi""]",4.68
451,14580203,"Barcelona, Spain",100%,1.0,"[""Hot water"", ""Cooking basics"", ""Wifi"", ""Washer"", ""Shampoo"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Luggage dropoff allowed"", ""Elevator"", ""Crib"", ""Iron"", ""Coffee maker"", ""Patio or balcony"", ""Paid parking off premises"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Essentials"", ""Air conditioning""]",4.54
452,4985749,"Barcelona, Spain",99%,2.5,"[""Bed linens"", ""Ceiling fan"", ""Oven"", ""AC - split type ductless system"", ""Hot water"", ""Coffee maker: Nespresso"", ""Cooking basics"", ""Wifi"", ""Courtyard view"", ""Electric stove"", ""Microwave"", ""Fire extinguisher"", ""Hangers"", ""Hair dryer"", ""Kitchen"", ""Toaster"", ""Bathtub"", ""Dining table"", ""City skyline view"", ""Hot water kettle"", ""Elevator"", ""Pack \u2019n play/Travel crib - available upon request"", ""Host greets you"", ""Iron"", ""Clamp on table seat high chair - available upon request"", ""Free washer \u2013 In unit"", ""Pets allowed"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Laundromat nearby"", ""Refrigerator"", ""Paid parking off premises"", ""Blender"", ""TV"", ""Heating"", ""Freezer"", ""Essentials"", ""Dishwasher""]",4.6
453,5940318,"Barcelona, Spain",100%,1.0,"[""Lockbox"", ""Babysitter recommendations"", ""Hangers"", ""Refrigerator"", ""Elevator"", ""Coffee maker"", ""32 inch HDTV"", ""Drying rack for clothing"", ""Books and reading material"", ""Body soap"", ""Ethernet connection"", ""Extra pillows and blankets"", ""Heating"", ""Wine glasses"", ""Room-darkening shades"", ""Hot water kettle"", ""Paid parking off premises"", ""Host greets you"", ""Private patio or balcony"", ""Kitchen"", ""Baking sheet"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Shower gel"", ""Bed linens"", ""Board games"", ""Carbon monoxide alarm"", ""Shampoo"", ""Oven"", ""Teka electric stove"", ""Crib"", ""Dishes and silverware"", ""Toaster"", ""Dining table"", ""Self check-in"", ""High chair"", ""Fast wifi \u2013 301 Mbps"", ""Essentials"", ""Laundromat nearby"", ""Microwave"", ""Portable fans"", ""Hair dryer"", ""Smoke alarm"", ""AC - split type ductless system"", ""Bathtub"", ""Free washer \u2013 In unit"", ""Clothing storage: closet"", ""Hot water"", ""Cooking basics"", ""Freezer"", ""Children\u2019s books and toys"", ""First aid kit""]",4.68
454,6362995,"Barcelona, Spain",100%,1.0,"[""Patio or balcony"", ""Fire extinguisher"", ""Elevator"", ""Essentials"", ""Heating"", ""Hangers"", ""First aid kit"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Iron"", ""Washer"", ""Wifi"", ""Hair dryer"", ""Dryer"", ""Dishes and silverware"", ""Air conditioning"", ""TV"", ""Kitchen"", ""Microwave""]",4.52
455,7521925,"Barcelona, Spain",67%,1.0,"[""Dishwasher"", ""Gas stove"", ""Hangers"", ""Dedicated workspace"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Coffee maker"", ""Extra pillows and blankets"", ""Heating"", ""Paid parking off premises"", ""Host greets you"", ""Piano"", ""Private patio or balcony"", ""Kitchen"", ""Baking sheet"", ""Iron"", ""Shower gel"", ""Bed linens"", ""Shampoo"", ""Oven"", ""Dishes and silverware"", ""TV"", ""Cleaning available during stay"", ""Essentials"", ""Microwave"", ""Hair dryer"", ""Free washer \u2013 In unit"", ""Hot water"", ""Cooking basics"", ""Wifi"", ""First aid kit""]",4.67
456,3744544,"Barcelona, Spain",98%,4.0,"[""Bed linens"", ""Oven"", ""AC - split type ductless system"", ""Hot water"", ""Room-darkening shades"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Books and reading material"", ""Body soap"", ""Paid parking on premises"", ""Cooking basics"", ""Wifi"", ""Courtyard view"", ""Microwave"", ""Hangers"", ""Hair dryer"", ""Paid crib - available upon request"", ""Kitchen"", ""Toaster"", ""Bathtub"", ""Dining table"", ""Wine glasses"", ""City skyline view"", ""Hot water kettle"", ""Elevator"", ""Gas stove"", ""Dedicated workspace"", ""56 inch HDTV with Amazon Prime Video, Netflix, standard cable"", ""Paid standalone high chair - available upon request"", ""Host greets you"", ""Iron"", ""Free washer \u2013 In unit"", ""Private patio or balcony"", ""Coffee maker"", ""Shower gel"", ""Single level home"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Dishes and silverware"", ""Paid parking off premises"", ""Refrigerator"", ""Free dryer \u2013 In unit"", ""Heating"", ""Freezer"", ""Essentials"", ""Dishwasher""]",4.59
457,1986299,"Barcelona, Spain",100%,0.0,"[""Bed linens"", ""Oven"", ""Wifi"", ""Washer"", ""Microwave"", ""Noise decibel monitors on property"", ""Kitchen"", ""Elevator"", ""Air conditioning"", ""Iron"", ""Ethernet connection"", ""Coffee maker"", ""Patio or balcony"", ""Dishes and silverware"", ""Refrigerator"", ""TV"", ""Heating"", ""Freezer"", ""Essentials"", ""Dishwasher""]",4.35
458,3744544,"Barcelona, Spain",98%,1.0,"[""Host greets you"", ""Clothing storage: closet"", ""Shower gel"", ""Paid parking off premises"", ""Freezer"", ""Paid crib - available upon request"", ""Central air conditioning"", ""Single level home"", ""Bed linens"", ""Dining table"", ""Refrigerator"", ""Elevator"", ""Essentials"", ""Toaster"", ""Heating"", ""City skyline view"", ""Outdoor furniture"", ""Hangers"", ""Body soap"", ""Dishwasher"", ""Oven"", ""Coffee maker"", ""Paid standalone high chair - available upon request"", ""Hot water"", ""Cooking basics"", ""Iron"", ""Wifi"", ""Free washer \u2013 In unit"", ""Wine glasses"", ""Gas stove"", ""Hair dryer"", ""Laundromat nearby"", ""Dishes and silverware"", ""Sun loungers"", ""Private patio or balcony"", ""HDTV with standard cable"", ""Drying rack for clothing"", ""Room-darkening shades"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Books and reading material"", ""Kitchen"", ""Hot water kettle"", ""Microwave"", ""Outdoor dining area"", ""Private backyard \u2013 Not fully fenced""]",4.54
